season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards
1980,sheltlo01,Lonnie Shelton,24,SEA,PF,76,,2243,16.8,.570,18.9,7.5,1.6,2.0,
1980,mcginge01,George McGinnis,29,2TM,PF,73,18,2208,15.2,.487,24.4,1.9,-1.2,0.4,
1980,mcginge01,George McGinnis,29,DEN,PF,45,,1424,15.6,.489,25.0,1.0,-0.7,0.5,
1980,mcginge01,George McGinnis,29,IND,PF,28,18,784,14.4,.483,23.5,0.9,-2.1,0.0,
1980,meyerda01,Dave Meyers,26,MIL,PF,79,,2204,13.3,.509,20.2,3.9,-0.8,0.7,
1980,paultbi01,Billy Paultz,31,2TM,C,84,,2193,13.9,.507,15.3,4.0,0.3,1.3,
1980,paultbi01,Billy Paultz,31,SAS,C,47,,1213,14.7,.522,15.1,2.6,1.1,1.0,
1980,paultbi01,Billy Paultz,31,HOU,C,37,,980,12.8,.486,15.5,1.4,-0.6,0.3,
1980,adamsal01,Alvan Adams,25,PHO,C,75,,2168,19.2,.571,21.9,7.0,3.6,3.1,
1980,cowenda01,Dave Cowens,31,BOS,C,66,55,2159,14.8,.477,20.1,5.4,0.9,1.6,AS;DEF2
1980,wickssi01,Sidney Wicks,30,SDC,PF,71,,2146,8.5,.447,13.6,-0.1,-2.8,-0.4,
1980,laniebo01,Bob Lanier,31,2TM,C,63,,2131,20.4,.592,21.6,7.4,3.1,2.8,
1980,laniebo01,Bob Lanier,31,DET,C,37,,1392,20.3,.593,21.8,4.2,2.5,1.6,
1980,laniebo01,Bob Lanier,31,MIL,C,26,,739,20.5,.589,21.2,3.2,4.4,1.2,
1980,jonesbo01,Bobby Jones,28,PHI,PF,81,3,2125,18.5,.590,19.5,8.1,3.3,2.8,DEF1
1980,rollitr01,Tree Rollins,24,ATL,C,82,,2123,18.9,.598,13.7,9.2,4.0,3.2,
1980,leaveal01,Allen Leavell,22,HOU,PG,77,,2123,15.1,.560,17.8,4.0,1.1,1.7,
1980,smithbi02,Bingo Smith,33,2TM,SG,78,,2123,11.3,.474,19.2,2.1,-3.2,-0.7,
1980,smithbi02,Bingo Smith,33,CLE,SG,8,,135,10.8,.490,24.0,0.1,-3.7,-0.1,
1980,smithbi02,Bingo Smith,33,SDC,SF,70,,1988,11.4,.473,18.9,2.0,-3.2,-0.6,
1980,furlote01,Terry Furlow,25,2TM,SG,76,,2122,16.0,.521,23.6,2.8,-0.2,1.0,
1980,furlote01,Terry Furlow,25,ATL,SG,21,,404,15.9,.482,22.0,0.8,2.5,0.5,
1980,furlote01,Terry Furlow,25,UTA,SG,55,,1718,16.0,.530,24.0,2.0,-0.9,0.5,
1980,johnsge02,George Johnson,31,NJN,C,81,,2119,11.8,.489,14.5,2.6,-0.3,0.9,
1980,parisro01,Robert Parish,26,GSW,C,72,,2119,20.0,.541,26.4,4.6,0.4,1.3,
1980,willifr01,Freeman Williams,23,SDC,SG,82,,2118,19.4,.527,30.5,4.1,0.5,1.3,
1980,fordch01,Chris Ford,31,BOS,SG,73,73,2115,13.0,.537,16.2,5.6,2.0,2.1,
1980,olberma01,Mark Olberding,23,SAS,SF,75,,2111,12.4,.546,16.2,3.1,-1.0,0.5,
1980,mcadobo01,Bob McAdoo,28,DET,PF,58,,2097,16.3,.524,25.8,2.0,-0.8,0.6,
1980,hillar01,Armond Hill,26,ATL,PG,79,,2092,9.2,.484,13.0,2.5,-2.0,0.0,
1980,bosweto01,Tom Boswell,26,2TM,PF,79,,2077,14.3,.616,18.5,3.7,-1.8,0.1,
1980,bosweto01,Tom Boswell,26,DEN,PF,18,,522,13.5,.612,15.4,1.1,-1.3,0.1,
1980,bosweto01,Tom Boswell,26,UTA,PF,61,,1555,14.6,.617,19.6,2.6,-2.0,0.0,
1980,kingre01,Reggie King,22,KCK,PF,82,,2052,13.5,.565,13.5,6.2,0.3,1.2,
1980,whitejo01,Jo Jo White,33,GSW,PG,78,,2052,11.2,.509,18.3,1.5,-2.4,-0.2,
1980,bibbyhe01,Henry Bibby,30,PHI,PG,82,8,2035,11.1,.491,17.7,3.4,-2.2,-0.1,
1980,bradldu01,Dudley Bradley,22,IND,SG,82,38,2027,13.5,.502,16.3,3.1,1.0,1.5,
1980,carrml01,M.L. Carr,29,BOS,SF,82,7,1994,14.6,.526,20.2,5.2,1.3,1.7,
1980,coopemi01,Michael Cooper,23,LAL,SG,82,,1973,12.5,.563,15.9,4.0,-0.1,0.9,
1980,restake01,Kevin Restani,28,SAS,SF,82,,1966,13.9,.548,17.8,3.5,-0.9,0.5,
1980,johnsge03,George Johnson,23,DEN,PF,75,,1938,15.0,.524,17.8,3.8,-0.5,0.7,
1980,robeyri01,Rick Robey,24,BOS,C,82,27,1918,15.4,.557,20.6,5.5,-0.8,0.6,
1980,robinbi01,Bill Robinzine,27,KCK,PF,81,,1917,15.3,.548,20.7,5.5,-0.8,0.6,
1980,knighbi01,Billy Knight,27,IND,SF,75,43,1910,18.0,.589,19.7,5.8,1.4,1.6,
1980,bensoke01,Kent Benson,25,2TM,C,73,,1891,13.1,.513,17.4,3.2,-0.3,0.8,
1980,bensoke01,Kent Benson,25,MIL,C,56,,1389,13.3,.519,16.6,2.9,0.5,0.9,
1980,bensoke01,Kent Benson,25,DET,C,17,,502,12.4,.499,19.7,0.3,-2.2,0.0,
1980,lucasma01,Maurice Lucas,27,2TM,PF,63,,1884,14.8,.503,24.3,2.4,-1.0,0.5,
1980,lucasma01,Maurice Lucas,27,POR,PF,41,,1176,13.8,.480,26.5,0.6,-2.4,-0.1,
1980,lucasma01,Maurice Lucas,27,NJN,PF,22,,708,16.4,.548,20.5,1.8,1.3,0.6,
