PLAYER_ID,PLAYER_NAME,START_YEAR,CLUSTER,CAREER_LENGTH,AVG_PER,MAX_PER
2648,Ronald Dupree,2003,-1,8,8.91,15.67
76360,Reggie Carter,1980,-1,2,8.91,9.24
707,Mark Davis,1995,-1,5,8.71,14.27
1727,Pat Garrity,1998,-1,10,8.71,13.6
200809,Chris Quinn,2006,-1,7,8.61,13.5
310,Bobby Hurley,1993,-1,5,8.49,10.51
101177,Fabricio Oberto,2005,-1,6,8.45,13.24
77904,Ed Rains,1981,-1,2,8.41,8.5
368,Dwayne Schintzius,1990,-1,9,8.29,12.37
2137,Ime Udoka,2003,-1,8,8.25,11.4
77426,Kevin Lynch,1991,-1,2,8.1,8.26
77731,Audie Norris,1982,-1,3,8.07,10.73
2418,Casey Jacobsen,2002,-1,6,8.02,10.23
201172,Gabe Pruitt,2007,-1,2,7.93,8.3
101261,Andre Owens,2005,-1,3,7.92,10.56
2810,Andre Brown,2006,-1,3,7.72,13.63
1906,Tim James,1999,-1,3,7.64,12.4
1068,Greg Dreiling,1986,-1,11,7.36,10.16
77893,Brian Quinnett,1989,-1,3,7.26,8.97
1855,Mark Macon,1991,-1,8,6.75,12.54
1091,Mike Smrek,1985,-1,7,6.74,9.29
342,Andy Toolson,1990,-1,6,6.54,8.45
78407,Nick Vanos,1985,-1,2,6.45,9.31
2058,Mark Madsen,2000,-1,9,6.43,12.87
700,Keith Tower,1993,-1,4,1.76,7.34
998,Mark Pope,1997,-1,8,1.17,10.47
101144,Von Wafer,2005,-1,7,1.06,14.45
78634,Michael Young,1984,-1,6,-5.51,16.07
201948,Austin Daye,2009,0,6,10.61,12.55
2575,Luke Walton,2003,0,10,10.49,14.99
2857,Andre Barrett,2004,0,4,10.15,12.48
381,James Robinson,1993,0,8,9.98,12.86
201601,Luc Mbah a Moute,2008,0,12,9.98,14.54
2417,Qyntel Woods,2002,0,4,9.97,12.17
1521,Jacque Vaughn,1997,0,12,9.82,13.63
2056,Primoz Brezec,2001,0,9,9.78,16.44
2470,Smush Parker,2002,0,6,9.75,13.43
1709,Michael Olowokandi,1998,0,9,9.74,12.21
195,Lee Mayberry,1992,0,7,9.69,11.08
201604,Chris Douglas-Roberts,2008,0,7,9.69,12.01
76942,Bob Hansen,1983,0,9,9.67,13.58
202325,Wesley Johnson,2010,0,9,9.64,11.81
1114,Jaren Jackson,1989,0,13,9.63,12.8
287,Eric Leckner,1988,0,9,9.45,12.22
77047,Michael Holton,1984,0,6,9.4,12.53
61,Carl Herrera,1991,0,8,9.38,12.94
2214,Michael Bradley,2001,0,5,9.38,12.47
1456,Randy Wittman,1983,0,9,9.37,12.65
201858,Cartier Martin,2008,0,7,9.34,12.71
37,Greg Graham,1993,0,5,9.33,13.06
1023,Emanual Davis,1996,0,7,9.33,11.79
200766,Marcus Williams,2006,0,4,9.31,11.81
78323,Bernard Thompson,1984,0,5,9.24,12.26
1922,Francisco Elson,2003,0,9,9.15,11.59
201947,Earl Clark,2009,0,6,9.14,12.76
323,Greg Foster,1990,0,13,9.09,14.76
1479,Mike Brown,1986,0,11,9.09,12.81
77053,Dave Hoppen,1987,0,6,9.07,12.09
1032,Darvin Ham,1996,0,9,9.0,12.78
2586,Keith Bogans,2003,0,11,8.99,10.85
77,Doug Overton,1992,0,12,8.94,13.7
201575,Brandon Rush,2008,0,9,8.88,15.43
78378,Elston Turner,1981,0,8,8.87,11.43
2091,Daniel Santiago,2000,0,5,8.83,11.46
2574,Jason Kapono,2003,0,9,8.76,13.44
76195,Manute Bol,1985,0,10,8.76,10.74
201161,Daequan Cook,2007,0,6,8.76,12.76
76980,Steve Hayes,1981,0,5,8.62,11.04
2416,Kareem Rush,2002,0,8,8.6,10.71
76138,William Bedford,1986,0,7,8.6,14.44
1724,Bryce Drew,1998,0,6,8.55,12.35
201187,Dominic McGuire,2007,0,6,8.42,12.0
76786,Calvin Garrett,1980,0,4,8.4,10.58
1861,Negele Knight,1990,0,9,8.36,12.95
2408,Melvin Ely,2002,0,12,8.27,14.81
202333,Xavier Henry,2010,0,5,8.2,13.21
2239,Trenton Hassell,2001,0,9,7.87,10.51
76861,Stuart Gray,1984,0,7,7.87,10.48
2562,Sasha Pavlovic,2003,0,10,7.57,11.9
1601,Rusty LaRue,1997,0,7,7.48,10.36
78314,David Thirdkill,1982,0,5,7.24,12.17
76172,Uwe Blab,1985,0,5,7.03,10.18
2401,Nikoloz Tskitishvili,2002,0,4,6.04,9.11
101110,Martell Webster,2005,1,10,9.0,13.91
1138,Michael Hawkins,1996,1,5,8.21,11.21
2260,Jarron Collins,2001,1,10,7.64,11.84
112,Dontonio Wingfield,1994,1,4,7.55,14.73
2694,Josh Powell,2005,1,9,7.5,10.75
376,Eric Montross,1994,1,8,7.49,12.04
76801,Tate George,1990,1,5,7.26,11.83
12,Chris King,1993,1,6,7.2,13.22
320,Jamie Watson,1994,1,5,7.0,10.39
2624,Quinton Ross,2004,1,7,6.84,10.52
154,Adrian Caldwell,1989,1,9,6.78,10.34
78430,Granville Waiters,1983,1,5,6.55,10.52
138,Anthony Avent,1992,1,8,6.49,10.25
76230,Charles Bradley,1981,1,3,6.1,8.99
2421,Frank Williams,2002,1,3,5.76,10.54
2447,Tamar Slay,2002,1,3,5.69,8.2
2215,Jason Collins,2001,1,13,5.59,11.02
78320,Jim Thomas,1983,1,8,5.37,13.08
2873,Billy Thomas,2004,1,4,4.99,9.81
78048,Walker Russell,1982,1,6,4.97,9.29
2573,Maciej Lampe,2003,1,3,4.94,11.99
771,Elmore Spencer,1992,1,5,4.78,11.28
684,Loren Meyer,1995,1,4,4.48,9.76
77114,Dave Jamerson,1990,1,4,4.48,12.58
200821,Yakhouba Diawara,2006,1,4,4.27,8.89
738,Bob Thornton,1985,1,11,4.04,6.71
76632,Jerry Eaves,1982,1,5,4.04,13.67
78352,Sedric Toney,1985,1,9,3.68,12.72
78179,Charles Smith,1989,1,7,3.64,13.61
1612,Chris Garner,1997,1,4,3.37,5.72
76482,Corey Crowder,1991,1,4,2.94,8.53
78264,Greg Stokes,1985,1,5,1.18,10.38
1518,Rodrick Rhodes,1997,1,3,-0.38,7.75
2420,Nenad Krstic,2004,2,7,13.6,17.43
77335,Jerome Lane,1988,2,5,13.24,18.16
76543,Darren Daye,1983,2,5,13.22,15.46
735,Bryant Reeves,1995,2,6,13.19,17.82
101118,Sean May,2005,2,5,13.18,19.43
697,Fred Hoiberg,1995,2,10,12.54,16.53
200764,Renaldo Balkman,2006,2,6,12.54,17.52
78569,Samuel Williams,1981,2,4,12.41,15.42
76001,Alaa Abdelnaby,1990,2,5,12.36,13.84
77361,Keith Lee,1985,2,4,12.04,13.66
101129,Luther Head,2005,2,6,11.89,13.46
440,Zan Tabak,1994,2,7,11.79,13.63
76790,Tom Garrick,1988,2,4,11.69,13.67
77789,Gerald Paddio,1990,2,4,11.59,15.78
1921,Gordan Giricek,2002,2,6,11.45,12.88
77386,Marcus Liberty,1990,2,4,11.35,13.7
1722,Michael Dickerson,1998,2,5,11.16,15.09
716,Rumeal Robinson,1990,2,7,11.07,15.13
1732,Felipe Lopez,1998,2,4,10.93,12.58
1505,Tariq Abdul-Wahad,1997,2,6,10.87,13.8
76713,Kenny Fields,1984,2,4,10.74,13.29
77173,Anthony Jones,1986,2,4,10.58,12.67
76608,Terry Duerod,1979,2,4,10.52,13.63
1821,Mark Randall,1991,2,4,9.73,12.16
77829,Sam Pellom,1979,2,4,9.11,11.3
32,Clifford Rozier,1994,2,4,9.03,14.66
2741,Robert Swift,2004,2,5,8.08,12.8
78035,Delaney Rudd,1989,2,4,8.05,11.87
2061,Dan Langhi,2000,2,4,7.01,9.28
101134,Wayne Simien,2005,3,2,8.79,11.51
2766,Antonio Burks,2004,3,2,8.64,12.49
76124,Dave Batton,1982,3,2,8.42,10.12
2261,Kenny Satterfield,2001,3,2,8.2,11.53
78307,Carlos Terry,1980,3,3,8.2,13.88
101185,Rawle Marshall,2005,3,2,8.1,9.45
1516,Ed Gray,1997,3,2,8.06,12.16
76574,Byron Dinkins,1989,3,2,8.0,11.24
1532,Jerald Honeycutt,1997,3,2,7.88,11.52
77481,Bill Martin,1985,3,3,7.79,11.5
1914,Chris Herren,1999,3,2,7.67,9.14
2761,Jackson Vroman,2004,3,2,7.59,9.45
1002,Reggie Geary,1996,3,2,7.48,8.22
1756,Ryan Stack,1998,3,2,7.33,9.78
78566,Pete Williams,1985,3,2,7.23,12.08
76869,Kenny Green,1985,3,2,7.16,8.2
76621,Devin Durrant,1984,3,2,7.04,8.84
201963,Christian Eyenga,2010,3,2,6.99,9.21
2604,Theron Smith,2003,3,2,6.93,8.58
77138,Dave Johnson,1992,3,2,6.92,8.15
78132,Craig Shelton,1980,3,2,6.9,8.36
200978,Jeremy Richardson,2006,3,3,6.69,13.4
201570,Joe Alexander,2008,3,2,6.66,10.43
78068,Dewayne Scales,1980,3,4,6.31,11.2
1680,Brian Oliver,1990,3,8,6.0,9.42
76411,Fred Cofield,1985,3,2,5.76,7.51
691,Lou Roe,1995,3,2,5.74,8.51
719,Randolph Childress,1995,3,2,5.49,6.6
77478,Bob Martin,1993,3,2,5.3,7.28
78618,Sam Worthen,1980,3,2,5.22,8.63
76847,Stewart Granger,1983,3,4,4.41,9.57
76358,Howard Carter,1983,3,2,3.0,13.17
77191,Ozell Jones,1984,3,2,2.31,11.73
2370,Mengke Bateer,2001,3,3,2.27,8.13
76320,Greg Butler,1988,3,3,1.04,4.66
77635,Lowes Moore,1980,4,3,13.7,20.96
202130,Reggie Williams,2009,4,8,13.51,17.27
1515,Anthony Parker,1997,4,15,13.35,30.41
335,Willie Anderson,1988,4,9,12.83,17.1
35,Eric Riley,1993,4,6,12.57,14.84
76450,Chris Corchiani,1991,4,3,12.39,14.71
1562,Gerard King,1998,4,3,12.38,13.7
77163,Reggie Johnson,1980,4,4,12.3,14.21
76782,Winston Garland,1987,4,8,12.27,15.44
78332,Paul Thompson,1983,4,3,12.21,14.23
180,John Crotty,1992,4,11,12.17,17.42
77273,Reggie King,1979,4,6,12.15,16.97
78233,Larry Spriggs,1981,4,5,12.07,16.15
76785,Bill Garnett,1982,4,4,12.06,15.06
76821,Gerald Glass,1990,4,6,11.99,14.96
1760,Derrick Dial,1999,4,5,11.92,14.02
76875,Sean Green,1991,4,3,11.9,17.54
1010,Randy Woods,1992,4,4,11.68,13.5
76043,Mitchell Anderson,1982,4,3,11.63,14.37
412,Sharone Wright,1994,4,4,11.61,15.06
76433,Anthony Cook,1990,4,6,11.61,15.74
46,Mike Peplowski,1993,4,3,11.54,15.23
2074,Jabari Smith,2000,4,5,11.54,15.07
1898,Cal Bowdler,1999,4,3,11.5,15.6
2042,Courtney Alexander,2000,4,3,11.32,13.12
77674,Tod Murphy,1987,4,7,11.32,15.88
1916,Calvin Booth,1999,4,10,11.25,16.22
77401,Kevin Loder,1981,4,3,11.24,12.86
202361,Landry Fields,2010,4,5,11.05,13.92
76387,Derrick Chievous,1988,4,3,10.66,13.67
77110,Tracy Jackson,1981,4,3,10.6,12.19
114,Harold Miner,1992,4,4,10.58,13.59
1720,Michael Doleac,1998,4,10,10.53,13.9
77432,Ollie Mack,1979,4,3,10.45,12.52
76742,Rod Foster,1983,4,3,10.42,12.5
164,Chris Childs,1994,4,9,10.27,16.17
957,Todd Fuller,1996,4,5,10.16,11.89
76436,Jeff Cook,1979,4,9,10.11,14.86
77077,Eddie Hughes,1987,4,3,10.11,12.16
2758,David Harrison,2004,4,4,10.05,12.17
2774,Bernard Robinson,2004,4,3,10.03,12.42
2565,Zoran Planinic,2003,4,3,10.02,12.5
201611,Henry Walker,2008,4,7,9.91,14.78
77135,Clay Johnson,1981,4,3,9.89,13.15
78533,James Wilkes,1980,4,3,9.84,11.65
202396,Samardo Samuels,2010,4,3,9.73,11.95
201972,Jon Brockman,2009,4,3,9.63,12.56
201953,Eric Maynor,2009,4,5,9.62,11.94
29,Jim McIlvaine,1994,4,7,9.54,11.3
1934,Rodney Buford,1999,4,6,9.47,11.03
76447,Hollis Copeland,1979,4,3,9.44,11.45
78181,Clinton Smith,1986,4,5,9.41,11.54
76283,Rickey Brown,1980,4,5,9.39,10.87
2257,Ruben Boumtje-Boumtje,2001,4,3,9.36,18.19
2366,Mike Wilks,2002,4,8,9.32,13.88
77456,Pace Mannion,1983,4,6,9.28,12.87
1846,Chris Welp,1987,4,3,9.08,11.89
77970,David Rivers,1988,4,4,9.08,10.0
78423,Danny Vranes,1981,4,7,8.84,11.27
346,Doug Edwards,1993,4,3,8.81,9.62
434,Tony Dumas,1994,4,4,8.81,15.7
1762,Tremaine Fowlkes,2001,4,4,8.78,12.37
2249,Jamison Brewer,2001,4,4,8.69,13.75
1432,Joe Courtney,1992,4,5,8.54,13.67
76152,Winston Bennett,1989,4,3,8.53,9.87
76291,Wallace Bryant,1983,4,3,8.45,9.94
76148,Tony Bennett,1992,4,3,8.42,10.28
2242,Terence Morris,2001,4,5,8.24,11.33
1519,John Thomas,1997,4,9,8.21,13.85
76553,Larry Demic,1979,4,3,7.84,10.17
76265,Kevin Brooks,1991,4,3,7.65,9.81
1895,William Avery,1999,4,3,7.16,9.25
353,Darrell Armstrong,1994,5,14,18.15,41.71
78527,Michael Wiley,1980,5,2,17.95,19.92
76803,Derrick Gervin,1989,5,2,17.56,22.01
24,Keith Jennings,1992,5,3,17.01,18.84
76121,Billyray Bates,1979,5,4,16.96,22.65
1719,Bonzi Wells,1998,5,10,16.47,26.43
77126,Abdul Jeelani,1979,5,2,16.35,17.59
101133,Ian Mahinmi,2007,5,13,16.29,33.84
1742,Shammond Williams,1998,5,9,16.15,31.87
77486,Marlon Maxey,1992,5,2,15.62,15.68
77588,Larry Micheaux,1983,5,2,15.6,16.48
200818,Justin Williams,2006,5,2,15.57,17.75
460,Trevor Ruffin,1994,5,2,15.42,16.24
183,Bison Dele,1991,5,8,15.4,17.27
76237,Adrian Branch,1986,5,4,15.32,19.29
78281,Dane Suttle,1983,5,2,15.31,15.74
201591,DJ White,2008,5,6,15.13,25.83
674,Reggie Jordan,1993,5,7,14.8,20.11
202178,Sundiata Gaines,2009,5,3,14.72,18.18
76050,Michael Ansley,1989,5,3,14.68,18.24
1734,Sam Jacobson,1998,5,3,14.54,21.14
982,Martin Muursepp,1996,5,2,14.5,14.52
1902,Jeff Foster,1999,5,13,14.5,25.68
201632,Hamed Haddadi,2008,5,5,14.38,19.48
