n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
5,0.06935123042505593,0.3749086856842041,533.2754928147154,0.5401378177320744,-0.0428325728688172,2,20,0.0,40,15,0.6787584830065854,0.5024085210513215
5,0.040268456375838924,0.37666264176368713,881.3201611176062,0.6087925328201059,-0.26595839266319105,2,20,0.0,50,5,0.722550875463562,0.04869497505129229
4,0.04623415361670395,0.36253631114959717,687.7059247746521,0.5636691744017226,-0.17743745942945754,2,20,0.0,50,10,0.6192807930648936,0.0025752296047126333
5,0.06935123042505593,0.3749086856842041,533.2754928147154,0.5401378177320744,-0.0428325728688172,2,20,0.0,50,15,0.6787584830065854,0.5024085210513215
14,0.09097688292319164,0.3067198395729065,339.3919778313955,0.6392859432494217,-0.20069119514863673,2,20,0.1,15,5,0.7026541088421181,0.045426397380827994
11,0.18642803877703207,0.36921167373657227,413.08698981451033,0.5273706362646412,-0.13837742734778813,2,20,0.1,15,10,0.6907620384088273,0.06000025331648396
9,0.2080536912751678,0.4177153706550598,380.9826997641651,0.5071565968767221,-0.1093751554408696,2,20,0.1,15,15,0.6883394681921251,0.3882198749445382
12,0.09395973154362416,0.3083416223526001,398.567405580837,0.6366813026949388,-0.24426707667630865,2,20,0.1,20,5,0.7079200644478865,0.031128286090228323
11,0.18642803877703207,0.36921167373657227,413.08698981451033,0.5273706362646412,-0.13837742734778813,2,20,0.1,20,10,0.6907620384088273,0.06000025331648396
7,0.14392244593586875,0.3823191821575165,601.2053548825919,0.5303269090625647,-0.11046272570858237,2,20,0.1,20,15,0.6642916790311261,0.3879134402099634
10,0.12826249067859807,0.3134998679161072,447.0281883814014,0.649608127689538,-0.2520193312749569,2,20,0.1,25,5,0.7032490518219767,0.02595128983599822
8,0.10961968680089486,0.3529256284236908,484.0736927955534,0.532712655997978,-0.09550232762427538,2,20,0.1,25,10,0.7184603075028404,0.5401467409003997
7,0.14392244593586875,0.3823191821575165,601.2053548825919,0.5303269090625647,-0.11046272570858237,2,20,0.1,25,15,0.6642916790311261,0.3879134402099634
9,0.12453392990305742,0.37753626704216003,453.02022159604593,0.6357751428339384,-0.2663611812972006,2,20,0.1,30,5,0.7145722832450112,0.019315464734780588
6,0.11483967188665176,0.37360432744026184,645.6182547720878,0.5410479076546083,-0.09910764696261361,2,20,0.1,30,10,0.6761505730272526,0.43551173732122916
6,0.16331096196868009,0.4076606035232544,662.573031246124,0.504687608589533,-0.11338630013413067,2,20,0.1,30,15,0.6684131050624965,0.41329695809002787
7,0.10738255033557047,0.3723795711994171,588.971893861496,0.6264606280644871,-0.23488252853775177,2,20,0.1,40,5,0.672539359965391,0.001651047863382904
6,0.11483967188665176,0.37360432744026184,645.6182547720878,0.5410479076546083,-0.09910764696261361,2,20,0.1,40,10,0.6761505730272526,0.43551173732122916
5,0.15659955257270694,0.4293799102306366,820.1316466414452,0.5904345033496021,-0.1326401604723363,2,20,0.1,40,15,0.6894402854269279,0.41224322700356136
4,0.08202833706189411,0.34591180086135864,946.3235334902301,0.7952360162213882,-0.38706689876327494,2,20,0.1,50,5,0.6319106223596584,0.20792757337715986
5,0.11036539895600299,0.4001862704753876,794.9882816797989,0.6173810612338789,-0.11641777363829284,2,20,0.1,50,10,0.6964171490524872,0.027769651911266287
5,0.15659955257270694,0.4293799102306366,820.1316466414452,0.5904345033496021,-0.1326401604723363,2,20,0.1,50,15,0.6894402854269279,0.41224322700356136
26,0.26025354213273677,0.5273674726486206,2930.5774913965565,0.5999016782893776,0.23707466903767827,2,30,0.0,15,5,0.771029058257472,0.18787617528864975
12,0.0842654735272185,0.3546907901763916,443.9811939745346,0.5407753764821198,-0.10424984392841073,2,30,0.0,15,10,0.7223220958657466,0.38786321221068665
14,0.19388516032811334,0.46963655948638916,1154.2567293072261,0.5354900593542015,0.1254725279726268,2,30,0.0,15,15,0.777705608755247,0.26902796514588323
24,0.24608501118568232,0.5166558623313904,2879.6083025761386,0.5940531029721486,0.19237183250923837,2,30,0.0,20,5,0.8136728759940038,0.2295426193314143
12,0.0842654735272185,0.3546907901763916,443.9811939745346,0.5407753764821198,-0.10424984392841073,2,30,0.0,20,10,0.7223220958657466,0.38786321221068665
13,0.20656226696495153,0.4862232506275177,1229.6622979342694,0.5388691797832291,0.12300532255216985,2,30,0.0,20,15,0.7839310372980692,0.2595692409306971
10,0.08202833706189411,0.39342138171195984,494.6524539236364,0.5836917459927566,-0.21895321461753292,2,30,0.0,25,5,0.7338699515305893,0.4530257662060695
10,0.09694258016405667,0.43566960096359253,525.970650057781,0.5901073851134374,0.22262707991095043,2,30,0.0,25,10,0.7388647311011001,0.4407634046806496
12,0.20208799403430275,0.46197575330734253,1281.2492269756667,0.6110263503481157,0.11903825738120878,2,30,0.0,25,15,0.7867948874833772,0.307884705020215
9,0.07979120059656973,0.3991771638393402,557.5855345833351,0.579306927963215,-0.2189943749321329,2,30,0.0,30,5,0.7416977678552636,0.4504789059094742
10,0.09694258016405667,0.43566960096359253,525.970650057781,0.5901073851134374,0.22262707991095043,2,30,0.0,30,10,0.7388647311011001,0.4407634046806496
10,0.1871737509321402,0.4347729980945587,1494.2317949296469,0.6936408579702886,0.06496938171799412,2,30,0.0,30,15,0.8084870039275065,0.2954318861372813
6,0.07979120059656973,0.3699491024017334,787.5812650100402,0.5459834852748516,-0.24666281160934095,2,30,0.0,40,5,0.7003131316822931,0.5682572055004035
5,0.049962714392244596,0.3487550616264343,922.4546264886845,0.660047290334049,-0.1893052604489467,2,30,0.0,40,10,0.7195699075751602,0.38596481454542
9,0.1871737509321402,0.4276317059993744,1544.724069632951,0.7007204030651498,0.09870178810239973,2,30,0.0,40,15,0.8124650375835591,0.2959815602854914
4,0.1133482475764355,0.42219117283821106,1103.2454964893086,0.5773381928309699,-0.2662375801349025,2,30,0.0,50,5,0.6496487513017319,0.03083684092226485
4,0.020879940343027592,0.37411823868751526,1231.7624074192718,0.7211242104602442,-0.3153099302608039,2,30,0.0,50,10,0.6830299944421463,0.006518741770698298
