n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
6,0.15734526472781507,0.3852488398551941,1486.622608644188,0.729963355057823,0.04688840220308731,2,30,0.0,50,15,0.7492460074243534,0.2966170644534666
13,0.1111111111111111,0.3122866749763489,377.02388774508955,0.6250204789706486,-0.17188859573153709,2,30,0.1,15,5,0.7012120566876279,0.03412067210329305
12,0.16331096196868009,0.35197368264198303,427.10763466316547,0.5614934623683012,-0.20621183551020622,2,30,0.1,15,10,0.69651352727201,0.06224122642044576
11,0.2669649515287099,0.41495436429977417,678.7518147324957,0.5349168862897691,0.13325692595650174,2,30,0.1,15,15,0.7000288506596026,0.05870396271386956
11,0.11707680835197613,0.31940311193466187,447.47752113332,0.6467829666755744,-0.21539201055725807,2,30,0.1,20,5,0.7075351763979385,0.009401899571996952
12,0.16331096196868009,0.35197368264198303,427.10763466316547,0.5614934623683012,-0.20621183551020622,2,30,0.1,20,10,0.69651352727201,0.06224122642044576
10,0.28113348247576436,0.4234245717525482,706.4896516567097,0.5205580535357852,0.13361290063120426,2,30,0.1,20,15,0.6998226061858239,0.0477205981600221
11,0.11707680835197613,0.31940311193466187,447.47752113332,0.6467829666755744,-0.21539201055725807,2,30,0.1,25,5,0.7075351763979385,0.009401899571996952
6,0.11185682326621924,0.38251104950904846,786.2364768243672,0.575484895159572,-0.2555878364627088,2,30,0.1,25,10,0.6924432581289282,0.06870075174241679
4,0.1185682326621924,0.37904441356658936,1066.359097000834,0.7169639071534882,-0.1515503118038754,2,30,0.1,25,15,0.6379221019364141,0.02883909772745459
9,0.11036539895600299,0.40081632137298584,490.2761970800964,0.6115437040176072,-0.19937779423883337,2,30,0.1,30,5,0.7260404482271565,0.4656220311826981
6,0.11185682326621924,0.38251104950904846,786.2364768243672,0.575484895159572,-0.2555878364627088,2,30,0.1,30,10,0.6924432581289282,0.06870075174241679
4,0.1185682326621924,0.37904441356658936,1066.359097000834,0.7169639071534882,-0.1515503118038754,2,30,0.1,30,15,0.6379221019364141,0.02883909772745459
6,0.07531692766592095,0.3822558522224426,781.7924176628419,0.5915262760653706,-0.27399023378496107,2,30,0.1,40,5,0.7029225412998743,0.07625104667386093
6,0.11185682326621924,0.38251104950904846,786.2364768243672,0.575484895159572,-0.2555878364627088,2,30,0.1,40,10,0.6924432581289282,0.06870075174241679
5,0.1715137956748695,0.46951064467430115,910.6243847254717,0.5509299302567633,-0.09172639186783643,2,30,0.1,40,15,0.7000348964712315,0.03246939480019437
5,0.06487695749440715,0.4074578881263733,965.1419314825263,0.6433789998265219,-0.2851980450407652,2,30,0.1,50,5,0.7281697891188865,0.04982847594387159
5,0.10887397464578673,0.4147498309612274,964.912461711004,0.5961002081592885,-0.26261521734006343,2,30,0.1,50,10,0.7160415284215484,0.1304608694874232
5,0.1715137956748695,0.46951064467430115,910.6243847254717,0.5509299302567633,-0.09172639186783643,2,30,0.1,50,15,0.7000348964712315,0.03246939480019437
