player_id,draft_year,pick,round,n_match
feickja01,1996.0,48.0,2.0,15
feitlda01,1986.0,43.0,2.0,15
feltora01,2005.0,5.0,1.0,15
fernaru01,2007.0,24.0,1.0,15
fernser01,,,,0
ferredu01,,,,0
ferryda01,1989.0,2.0,1.0,15
fesenky01,2007.0,38.0,2.0,15
fieldke01,1984.0,21.0,1.0,15
fieldla01,2010.0,39.0,2.0,15
finlemi01,1995.0,21.0,1.0,15
fishede01,1996.0,24.0,1.0,15
fishma01,1992.0,50.0,2.0,15
fizerma01,2000.0,4.0,1.0,15
flemive01,1984.0,18.0,1.0,15
floydsl01,1982.0,13.0,1.0,15
flynnjo01,2009.0,6.0,1.0,15
forbega01,,,,0
fordch01,,,,0
forddo01,,,,0
fordph01,1978.0,2.0,1.0,15
fordtj01,2003.0,8.0,1.0,15
fortsda01,1997.0,10.0,1.0,15
fostegr01,1990.0,35.0,2.0,15
fosteje01,1999.0,21.0,1.0,15
fostero01,1983.0,28.0,2.0,15
fowlktr01,1998.0,54.0,2.0,15
foxri01,1991.0,24.0,1.0,15
foyera01,2006.0,7.0,1.0,15
foylead01,1997.0,8.0,1.0,15
frahmri01,,,,0
francst01,1999.0,2.0,1.0,15
frankte01,1987.0,14.0,1.0,15
fredean01,1986.0,133.0,6.0,15
freewo01,,,,0
freijma01,2004.0,53.0,2.0,15
fryech01,2005.0,8.0,1.0,15
fulleto02,1996.0,11.0,1.0,15
fundela01,1994.0,51.0,2.0,15
gadzuda01,2002.0,33.0,2.0,15
gaineco01,1988.0,65.0,3.0,15
gainere01,2003.0,15.0,1.0,15
gainesu01,,,,0
galemi01,,,,0
gallida01,2008.0,6.0,1.0,15
gamblke01,1987.0,63.0,3.0,15
garcifr01,2005.0,23.0,1.0,15
garlawi01,1987.0,40.0,2.0,15
garnebi02,1982.0,4.0,1.0,15
garnech01,,,,0
garneke01,1995.0,5.0,1.0,15
garreca01,1979.0,47.0,3.0,15
garrede01,,,,0
garripa01,1998.0,19.0,1.0,15
garrito01,1988.0,45.0,2.0,15
gasolma01,2007.0,48.0,2.0,15
gasolpa01,2001.0,3.0,1.0,15
gatlich01,1991.0,16.0,1.0,15
gattike01,1986.0,55.0,3.0,15
gayru01,2006.0,8.0,1.0,15
gearyre01,1996.0,56.0,2.0,15
geeal01,,,,0
geigema01,1992.0,42.0,2.0,15
gelabmi01,2005.0,48.0,2.0,15
georgde01,1999.0,23.0,1.0,15
georgpa01,2010.0,10.0,1.0,15
georgta01,1990.0,22.0,1.0,15
gerargu01,,,,0
gervide01,,,,0
gervige01,,,,0
gibsoda01,2006.0,42.0,2.0,15
gibsomi01,1982.0,44.0,2.0,15
gibsota01,2009.0,26.0,1.0,15
gilled01,,,,0
gilliar01,1987.0,2.0,1.0,15
gillke01,1990.0,5.0,1.0,15
gilmoar01,,,,0
ginobma01,1999.0,57.0,2.0,15
giricgo01,1999.0,40.0,2.0,15
glassge01,1990.0,20.0,1.0,15
glennmi01,1977.0,23.0,2.0,15
glovedi01,1999.0,20.0,1.0,15
gminsmi01,1980.0,7.0,1.0,15
goldwan01,1994.0,52.0,2.0,15
gomesry01,2005.0,50.0,2.0,15
gondrgl01,1977.0,26.0,2.0,15
gondrgr01,1986.0,77.0,4.0,15
goodedr01,2002.0,4.0,1.0,15
gordobe01,2004.0,3.0,1.0,15
gordoer01,2008.0,7.0,1.0,15
gordola01,1984.0,8.0,1.0,15
gortama01,2005.0,57.0,2.0,15
grahagr01,1993.0,17.0,1.0,15
grahajo01,2005.0,16.0,1.0,15
grahapa01,,,,0
grahast01,,,,0
grandro01,,,,0
grangda01,2005.0,17.0,1.0,15
grangst01,1983.0,24.0,1.0,15
grantbr01,1994.0,8.0,1.0,15
grantga01,1988.0,15.0,1.0,15
grantgr01,1989.0,52.0,2.0,15
grantha01,1988.0,12.0,1.0,15
grantho01,1987.0,10.0,1.0,15
grayaa01,2007.0,49.0,2.0,15
grayed01,1997.0,22.0,1.0,15
grayeje01,1988.0,13.0,1.0,15
grayst01,1984.0,29.0,2.0,15
greenac01,1985.0,23.0,1.0,15
greenda01,,,,0
greenda02,2009.0,46.0,2.0,15
greendo01,2008.0,28.0,1.0,15
greenge01,2005.0,18.0,1.0,15
greenje02,2007.0,5.0,1.0,15
greenke02,1985.0,12.0,1.0,15
greenli01,1992.0,39.0,2.0,15
greenor01,2005.0,53.0,2.0,15
greenri01,1977.0,16.0,1.0,15
greense01,1991.0,41.0,2.0,15
greensi02,1983.0,5.0,1.0,15
greenwi01,2003.0,41.0,2.0,15
greveke01,,,,0
griffad01,,,,0
griffbl01,2009.0,1.0,1.0,15
griffda01,1980.0,2.0,1.0,15
griffed01,2001.0,7.0,1.0,15
griffpa01,1976.0,74.0,5.0,15
grossbo01,,,,0
grunfer01,1977.0,11.0,1.0,15
gudmupe01,1981.0,61.0,3.0,15
guglito01,1992.0,6.0,1.0,15
guidija01,,,,0
guytoaj01,2000.0,32.0,2.0,15
haddaha01,,,,0
hairsma01,2008.0,48.0,2.0,15
haislma01,2002.0,13.0,1.0,15
haleyja01,1987.0,79.0,4.0,15
hamda01,,,,0
hamilri01,1999.0,7.0,1.0,15
hamilze01,,,,0
hammoto01,1989.0,9.0,1.0,15
hancoda01,1994.0,38.0,2.0,15
hansbty01,2009.0,13.0,1.0,15
hansebo01,1983.0,54.0,3.0,15
hanzlbi01,1980.0,20.0,1.0,15
haranlu01,2010.0,52.0,2.0,15
hardaan01,1993.0,3.0,1.0,15
hardati01,1989.0,14.0,1.0,15
hardeja01,2009.0,3.0,1.0,15
hardyal01,,,,0
hardyja01,1978.0,11.0,1.0,15
harpede01,1983.0,11.0,1.0,15
harpemi01,1980.0,56.0,3.0,15
harpero01,1986.0,8.0,1.0,15
harprma01,1998.0,15.0,1.0,15
harrial01,1998.0,25.0,1.0,15
