player_id,name,debut,last,span,n_valid,n_gaps,career_games,career_mp,mean_per,peak_per,sd_per,min_mp_valid,pos_mode,all_star_n,all_nba_n,mvp_top5_n,mean_bpm,mean_ws,sum_ws,sum_vorp,mean_usg,mean_ts,debut_age
englial01,Alex English,1980,1991,12,12,0,970,33167,19.908333333333335,24.1,2.9221733730602337,1748.0,SF,8,3,0,1.8583333333333332,7.374999999999999,88.49999999999999,34.300000000000004,27.03333333333333,0.5459999999999999,26.0
ervinju01,Julius Erving,1980,1987,8,8,0,602,20506,22.1,25.9,3.3256578296631782,1918.0,SF,8,5,4,5.3125,9.7,77.6,38.9,26.700000000000003,0.558875,29.0
eschmev01,Evan Eschmeyer,2000,2003,4,4,0,153,2138,9.975,11.8,1.6315253599009734,135.0,C,0,0,0,-3.05,0.9750000000000001,3.9000000000000004,-0.5,11.0,0.48375,24.0
evansje01,Jeremy Evans,2011,2016,6,6,0,250,2626,17.933333333333334,20.5,2.7517671090087226,215.0,SF,0,0,0,2.0333333333333337,1.3499999999999999,8.1,1.9000000000000004,13.383333333333333,0.626,23.0
evansma01,Maurice Evans,2005,2012,8,8,0,562,10918,11.6875,14.0,1.7716076738375233,343.0,SF,0,0,0,-1.475,2.7125000000000004,21.700000000000003,2.1,15.899999999999999,0.532125,26.0
evansmi01,Mike Evans,1980,1988,9,9,0,591,9858,11.422222222222222,15.6,2.4827304761661,270.0,PG,0,0,0,-2.5777777777777775,1.0333333333333332,9.299999999999999,-1.2,19.933333333333337,0.5056666666666667,24.0
evansre01,Reggie Evans,2003,2015,13,13,0,809,15572,11.530769230769229,13.5,1.2510823716253523,311.0,PF,0,0,0,-2.9384615384615382,2.1000000000000005,27.300000000000004,-2.9999999999999996,12.361538461538462,0.5014615384615386,22.0
evansty01,Tyreke Evans,2010,2019,10,10,0,594,18242,16.919999999999998,21.1,2.4955159787106154,765.0,SG,0,0,0,0.82,2.84,28.4,13.1,25.7,0.5172,20.0
ewingpa01,Patrick Ewing,1986,2002,17,17,0,1183,40594,20.42941176470588,25.8,3.3061021488582476,848.0,C,11,7,6,2.4058823529411764,7.441176470588236,126.50000000000001,50.10000000000001,27.682352941176468,0.5443529411764706,23.0
farmajo01,Jordan Farmar,2007,2016,10,9,1,504,9840,13.111111111111112,17.4,2.467767522115865,291.0,PG,0,0,0,-0.6888888888888889,1.5333333333333332,13.799999999999999,3.6,19.72222222222222,0.5275555555555556,20.0
farmeji01,Jim Farmer,1988,1991,4,4,0,136,1454,10.125,15.5,4.151731566467177,157.0,SG,0,0,0,-4.95,0.19999999999999998,0.7999999999999999,-0.7,23.6,0.477,23.0
favorde01,Derrick Favors,2011,2022,12,12,0,790,19202,18.258333333333333,21.8,2.7063069342227655,653.0,PF,0,0,0,0.6083333333333333,5.008333333333334,60.1,13.9,18.825000000000003,0.5685833333333333,19.0
